건물,호선,역,주소,cor
이디야,2.0,구디단,서울특별시 구로구 디지털로30길 31,"X :126.896019, Y :37.4828711"
올리브영,2.0,구디단,서울특별시 구로구 구로3동 187-10,"X :126.898786, Y :37.4851351"
스타벅스,2.0,대림,구로구 구로동 191-7,"X :126.895495, Y :37.4856908"
다이소,2.0,대림,서울특별시 영등포구 대림동 도림로 157,"X :126.898977, Y :37.4945687"
이디야,2.0,대림,서울특별시 영등포구 도림로31길 2,"X :126.895836, Y :37.4924937"
올리브영,2.0,대림,서울특별시 관악구 신림동 1643-5,"X :126.902722, Y :37.4840482"
스타벅스,2.0,용답,서울특별시 동대문구 천호대로 263,"X :127.051108, Y :37.5684933"
다이소,2.0,용답,서울특별시 성동구 천호대로 308,"X :127.054219, Y :37.5652124"
이디야,2.0,용답,서울특별시 성동구 용답동,"X :우편번호없음, Y :x좌표없음"
올리브영,2.0,용답,서울특별시 동대문구 고미술로 81 1층 103호,"X :127.055736, Y :37.5655811"
스타벅스,2.0,신답,서울특별시 동대문구 천호대로 263,"X :127.051108, Y :37.5684933"
다이소,2.0,신답,서울특별시 성동구 천호대로 308,"X :127.054219, Y :37.5652124"
이디야,2.0,신답,서울특별시 동대문구 천호대로 265,"X :127.051357, Y :37.5683130"
올리브영,2.0,신답,서울특별시 동대문구 고미술로 81 1층 103호,"X :127.055736, Y :37.5655811"
스타벅스,2.0,용두,서울특별시 동대문구 왕산로 19,"X :127.025518, Y :37.5766913"
다이소,2.0,용두,서울특별시 동대문구 용신동 47-9,"X :127.032434, Y :37.5755454"
이디야,2.0,용두,서울특별시 동대문구 용두동 40-1,"X :127.037914, Y :37.5766431"
올리브영,2.0,용두,서울특별시 동대문구 고미술로 81 1층 103호,"X :127.055736, Y :37.5655811"
스타벅스,2.0,신설동,서울특별시 동대문구 왕산로 19,"X :127.025518, Y :37.5766913"
다이소,2.0,신설동,서울특별시 종로구 창신동 율곡로 309,"X :127.009952, Y :37.5702694"
이디야,2.0,신설동,서울특별시 종로구 숭인동,"X :우편번호없음, Y :x좌표없음"
올리브영,2.0,신설동,서울특별시 동대문구 신설동,"X :우편번호없음, Y :x좌표없음"
스타벅스,4.0,진접,경기도 남양주시 진접읍 장현리 230-6,"X :127.190227, Y :37.7228433"
다이소,4.0,진접,경기도 남양주시 진접읍 연평리 59-3,"X :127.185514, Y :37.7115346"
이디야,4.0,진접,경기도 남양주시 진접읍 경복대로 233,"X :127.202468, Y :37.7195435"
올리브영,4.0,진접,경기도 남양주시 진접읍 장현리 634-4,"X :127.180868, Y :37.7176053"
스타벅스,4.0,오남,경기도 남양주시 진접읍 연평리 59-3 KR,"X :127.185514, Y :37.7115346"
다이소,4.0,오남,경기도 남양주시 오남읍 오남리 328,"X :127.210559, Y :37.6846259"
이디야,4.0,오남,경기도 남양주시 오남읍 양지리 94-1,"X :127.204981, Y :37.6971232"
올리브영,4.0,오남,경기도 남양주시 진접읍 장현리 634-4,"X :127.180868, Y :37.7176053"
스타벅스,4.0,별내별가람,경기도 남양주시 별내동 824,"X :127.117197, Y :37.6679154"
다이소,4.0,별내별가람,경기도 남양주시 별내동 826-10,"X :127.117885, Y :37.6658425"
이디야,4.0,별내별가람,"827-2, 별내동 남양주시 경기도","X :우편번호없음, Y :x좌표없음"
올리브영,4.0,별내별가람,경기도 남양주시 별내중앙로 84,"X :127.122844, Y :37.6489982"
스타벅스,4.0,당고개,서울특별시 노원구 노원로 569,"X :127.057097, Y :37.6606973"
다이소,4.0,당고개,서울특별시 노원구 상계3.4동 72-8,"X :127.081473, Y :37.6701705"
이디야,4.0,당고개,서울특별시 노원구 상계동 111-491,"X :127.080352, Y :37.6708109"
올리브영,4.0,당고개,서울특별시 노원구 상계2동 상계로 65,"X :127.062193, Y :37.6563881"
스타벅스,4.0,상계,서울특별시 노원구 동일로 1413,"X :127.059993, Y :37.6547494"
다이소,4.0,상계,서울특별시 노원구 중계동 141-32,"X :127.073847, Y :37.6607692"
이디야,4.0,상계,서울특별시 노원구 중계4동 덕릉로 698,"X :127.075637, Y :37.6598221"
올리브영,4.0,상계,서울특별시 노원구 상계동 763-4,"X :127.062254, Y :37.6479819"
스타벅스,4.0,노원,서울특별시 노원구 동일로 1413,"X :127.059993, Y :37.6547494"
다이소,4.0,노원,서울특별시 노원구 동일로 1392,"X :127.061352, Y :37.6530459"
이디야,4.0,노원,"617, 상계2동 노원구 서울특별시","X :우편번호없음, Y :x좌표없음"
올리브영,4.0,노원,서울특별시 노원구 노해로 480 조광 빌딩 1 층,"X :127.061421, Y :37.6541450"
스타벅스,4.0,창동,서울특별시 도봉구 창동 135-26 EMART,"X :127.046676, Y :37.6516199"
다이소,4.0,창동,서울특별시 도봉구 창동 덕릉로63가길 68,"X :127.036847, Y :37.6427936"
이디야,4.0,창동,서울특별시 도봉구 창동 마들로11길 65,"X :127.049691, Y :37.6533666"
올리브영,4.0,창동,서울특별시 도봉구 창동 74-14,"X :127.046801, Y :37.6521784"
스타벅스,4.0,쌍문,도봉구 창동 659-5,"X :127.034867, Y :37.6483352"
다이소,4.0,쌍문,서울특별시 도봉구 도봉로 491,"X :127.034833, Y :37.6495426"
이디야,4.0,쌍문,서울특별시 도봉구 쌍문동 88-20,"X :127.034686, Y :37.6494255"
올리브영,4.0,쌍문,서울특별시 도봉구 창동 659-5,"X :127.034867, Y :37.6483352"
스타벅스,4.0,수유,서울특별시 강북구 도봉로 342 1층,"X :127.026399, Y :37.6380301"
다이소,4.0,수유,서울특별시 강북구 번동 446-14,"X :127.025674, Y :37.6376699"
이디야,4.0,수유,서울특별시 강북구 수유동 도봉로 355,"X :127.026728, Y :37.6393725"
올리브영,4.0,수유,서울특별시 강북구 번동 446-14,"X :127.025674, Y :37.6376699"
스타벅스,4.0,미아,서울특별시 강북구 도봉로 196,"X :127.026599, Y :37.6261282"
다이소,4.0,미아,서울특별시 강북구 미아동 월계로 3,"X :127.030614, Y :37.6095582"
이디야,4.0,미아,서울특별시 강북구 도봉로10길 28,"X :127.031000, Y :37.6138377"
올리브영,4.0,미아,서울특별시 강북구 미아동 도봉로 188,"X :127.027074, Y :37.6256235"
스타벅스,4.0,미아사거리,서울특별시 강북구 도봉로 32,"X :127.030750, Y :37.6118286"
다이소,4.0,미아사거리,서울특별시 강북구 미아동 월계로 3,"X :127.030614, Y :37.6095582"
이디야,4.0,미아사거리,서울특별시 강북구 도봉로10길 28,"X :127.031000, Y :37.6138377"
올리브영,4.0,미아사거리,서울특별시 강북구 미아동 도봉로 188,"X :127.027074, Y :37.6256235"
스타벅스,4.0,길음,서울특별시 성북구 돈암동 625-2 BR빌딩,"X :127.025300, Y :37.6020001"
다이소,4.0,길음,서울특별시 성북구 길음동 길음로9길 50,"X :127.020351, Y :37.6030371"
이디야,4.0,길음,서울특별시 성북구 길음동 1282,"X :127.021010, Y :37.6092718"
올리브영,4.0,길음,서울특별시 성북구 길음동 길음로 33 뉴타운상가 A동 1층 3호,"X :127.017963, Y :37.6074343"
스타벅스,4.0,성신여대입구,성북구 동선동1가 92-1,"X :127.018390, Y :37.5931356"
다이소,4.0,성신여대입구,서울특별시 성북구 동선동1가 동소문로나길 2,"X :우편번호없음, Y :x좌표없음"
이디야,4.0,성신여대입구,서울특별시 성북구 동소문동6가 147,"X :127.015955, Y :37.5937125"
올리브영,4.0,성신여대입구,서울특별시 성북구 동소문로22길 39,"X :127.018412, Y :37.5913967"
스타벅스,4.0,한성대입구,서울특별시 성북구 성북동1가 35-1,"X :127.004904, Y :37.5890373"
다이소,4.0,한성대입구,서울특별시 성북구 동소문로 14,"X :127.007791, Y :37.5888119"
이디야,4.0,한성대입구,서울특별시 성북구 동소문동1가 90,"X :127.008086, Y :37.5895147"
올리브영,4.0,한성대입구,서울특별시 성북구 동소문동2가,"X :우편번호없음, Y :x좌표없음"
스타벅스,4.0,혜화,서울특별시 종로구 대학로12길 4,"X :127.002164, Y :37.5824962"
다이소,4.0,혜화,서울특별시 종로구 창경궁로 239,"X :126.998643, Y :37.5832349"
이디야,4.0,혜화,서울특별시 종로구 명륜2가 32,"X :127.000624, Y :37.5835773"
올리브영,4.0,혜화,서울특별시 종로구 혜화동 185,"X :127.002039, Y :37.5839648"
스타벅스,4.0,동대문,서울특별시 중구 장충단로 229,"X :127.007189, Y :37.5652060"
다이소,4.0,동대문,서울특별시 종로구 창신동 율곡로 309,"X :127.009952, Y :37.5702694"
이디야,4.0,동대문,서울특별시 종로구 율곡로 286,"X :127.008095, Y :37.5718102"
올리브영,4.0,동대문,서울특별시 중구 장충단로 251,"X :127.008027, Y :37.5671611"
스타벅스,4.0,동역사,서울특별시 중구 장충단로 229,"X :127.007189, Y :37.5652060"
다이소,4.0,동역사,서울특별시 종로구 창신동 율곡로 309,"X :127.009952, Y :37.5702694"
이디야,4.0,동역사,광희동1가 189-2번지 1층 중구 서울특별시 KR,"X :127.006487, Y :37.5646114"
올리브영,4.0,동역사,서울특별시 중구 장충단로 251,"X :127.008027, Y :37.5671611"
스타벅스,4.0,충무로,서울특별시 중구 필동 퇴계로 197,"X :126.993913, Y :37.5614128"
