,건물,호선,역,주소
354,다이소,3,홍제역,서울특별시 서대문구 홍제동 161-1
355,올리브영,3,홍제역,서울특별시 서대문구 홍제3동 통일로 446
356,스타벅스,3,홍제역,서울특별시 서대문구 통일로 451
357,이디야,3,녹변역,녹번동 131-158번지 1층 신명빌딩 은평구 서울특별시 KR
358,다이소,3,녹변역,서울특별시 은평구 갈현동 468-2
359,올리브영,3,녹변역,서울특별시 은평구 응암동 91-3
360,스타벅스,3,녹변역,서울특별시 은평구 녹번동 통일로 636
361,이디야,3,불광역,서울특별시 은평구 불광1동 불광로 59
362,다이소,3,불광역,서울특별시 은평구 대조동 통일로67길 3 상일빌딩
363,올리브영,3,불광역,서울특별시 은평구 불광동 통일로 736
364,스타벅스,3,불광역,서울특별시 은평구 대조동 15-9
365,이디야,3,연신내역,서울특별시 은평구 갈현동 398-6
366,다이소,3,연신내역,서울특별시 은평구 불광동 연서로 253
367,올리브영,3,연신내역,서울특별시 은평구 갈현동 396-4
368,스타벅스,3,연신내역,서울특별시 은평구 통일로 842
369,이디야,3,구파발역,서울특별시 은평구 진관동 29-21
370,다이소,3,구파발역,서울특별시 은평구 진관동 통일로 1050
371,올리브영,3,구파발역,서울특별시 은평구 진관동 100-6
372,스타벅스,3,구파발역,서울특별시 은평구 진관동 진관2로 12
373,이디야,3,지축역,경기도 고양시 덕양구 지축동 643-3
374,다이소,3,지축역,경기도 고양시 덕양구 삼송동 16-45번지
375,올리브영,3,지축역,경기도 고양시 덕양구 권율 대로 893
376,스타벅스,3,지축역,경기도 고양시 덕양구 삼송동 291 KR
377,이디야,3,대화역,경기도 고양시 일산서구 대화동 2222
378,다이소,3,대화역,일산서구 일산동 1054-1번지 1층 고양시 경기도 KR
379,올리브영,3,대화역,경기도 고양시 일산서구 대화동 2219
380,스타벅스,3,대화역,경기도 고양시 일산서구 중앙로 1559
381,이디야,3,대곡역,경기도 고양시 일산서구 대화동 2222
382,다이소,3,대곡역,경기도 고양시 덕양구 토당동 토당로 110
383,올리브영,3,대곡역,일산서구 일산동 1084-1번지 고양시 경기도 KR
384,스타벅스,3,대곡역,경기도 고양시 일산동구 일산동구 백석동 1296-3
385,이디야,5,마천역,거여동 133-77번지 송파구 서울특별시 KR
386,다이소,5,마천역,마천동 127-9번지 지하 송파구 서울특별시 KR
387,올리브영,5,마천역,서울특별시 송파구 거여동 27-5
388,스타벅스,5,마천역,서울특별시 송파구 마천동 43-1
389,이디야,5,거여역,서울특별시 송파구 거여1동 오금로 497
390,다이소,5,거여역,서울특별시 송파구 거여2동 거마로 12 지하1층
391,올리브영,5,거여역,서울특별시 송파구 거여동 27-5
392,스타벅스,5,거여역,서울특별시 송파구 오금로 493
393,이디야,5,개롱역,서울특별시 송파구 오금동 165
394,다이소,5,개롱역,서울특별시 송파구 가락본동 중대로 109
395,올리브영,5,개롱역,서울특별시 송파구 가락동 167-4
396,스타벅스,5,개롱역,서울특별시 송파구 오금로 420
397,이디야,5,오금역,"가락 스타 클래스, 8 가락동 송파구 서울특별시"
398,다이소,5,오금역,서울특별시 송파구 가락동 7
399,올리브영,5,오금역,서울특별시 송파구 가락동 167-4
400,스타벅스,5,오금역,송파구 오금동 17-8
401,이디야,5,방이역,서울특별시 송파구 방이동 208-6
