건물,호선,역,주소
다이소,4,총신대입구,서울특별시 동작구 사당동 134-3
이디야,4,총신대입구,"2 층, 135-6 사당동 동작구 서울특별시"
올리브영,4,총신대입구,서울특별시 동작구 사당동 동작대로 지하 3
스타벅스,4,사당,"1031-27 Sadang-Dong Dongjak-Gu, 1,2F, Seoul, 서울특별시"
다이소,4,사당,서울특별시 동작구 남부순환로 2057
이디야,4,사당,서울특별시 관악구 남현동 과천대로 951
올리브영,4,사당,서울특별시 동작구 사당동 동작대로 지하 3
스타벅스,4,남태령,서울특별시 관악구 남부순환로 2082-25
다이소,4,남태령,경기도 과천시 중앙동 중앙로 129 지하 1층
이디야,4,남태령,서울특별시 관악구 남현동 과천대로 909
올리브영,4,남태령,서울특별시 관악구 남현동 과천대로 941
스타벅스,4,선바위,경기도 과천시 중앙로 277
다이소,4,선바위,경기도 과천시 중앙동 중앙로 129 지하 1층
이디야,4,선바위,경기도 과천시 부림동
올리브영,4,선바위,경기도 과천시 별양동 1-10
스타벅스,4,경마공원,경기도 과천시 중앙로 277
다이소,4,경마공원,경기도 과천시 중앙동 중앙로 129 지하 1층
이디야,4,경마공원,경기도 과천시 부림동
올리브영,4,경마공원,경기도 과천시 별양동 1-10
스타벅스,4,대공원,경기도 과천시 중앙로 277
다이소,4,대공원,경기도 과천시 중앙동 중앙로 129 지하 1층
이디야,4,대공원,경기도 과천시 부림동
올리브영,4,대공원,경기도 과천시 별양동 1-10
스타벅스,4,과천,경기도 과천시 중앙동 중앙로 129
다이소,4,과천,경기도 과천시 중앙동 중앙로 129 지하 1층
이디야,4,과천,경기도 과천시 부림동
올리브영,4,과천,경기도 과천시 중앙동 중앙로 129 지하 1층
스타벅스,4,정부과천청사,경기도 과천시 별양동 1-19
다이소,4,정부과천청사,경기도 과천시 원문동 별양로 12
이디야,4,정부과천청사,별양동 1-15번지 109호 112호 과천시 경기도 KR
올리브영,4,정부과천청사,경기도 과천시 별양동 1-10
스타벅스,4,인덕원,경기도 안양시 동안구 흥안대로 519
다이소,4,인덕원,경기도 안양시 동안구 관양동 1505-27
이디야,4,인덕원,동안구 관양동 1503번지 안양시 경기도 KR
올리브영,4,인덕원,경기도 안양시 동안구 관양1동
스타벅스,4,평촌,경기도 안양시 동안구 관양동 시민대로 311
다이소,4,평촌,경기도 안양시 동안구 관양동 1505-27
이디야,4,평촌,경기도 안양시 동안구 부림동 1604-4
올리브영,4,평촌,경기도 안양시 동안구 관양동 1746-2
스타벅스,4,범계,경기도 안양시 동안구 시민대로 180 G스퀘어 1층
다이소,4,범계,경기도 안양시 만안구 안양4동 676-116
이디야,4,범계,경기도 안양시 동안구 호계동 1042
올리브영,4,범계,경기도 안양시 동안구 평촌대로223번길 41
스타벅스,4,금정,"경기도 군포시 금정동 엘에스로 143 힐스테이트 금정역), AK플라자 4층"
다이소,4,금정,경기도 군포시 산본1동 266-1
이디야,4,금정,경기도 군포시 산본동 산본천로 216
올리브영,4,금정,경기도 군포시 산본1동 266-7
스타벅스,4,산본,경기도 군포시 번영로 497
다이소,4,산본,경기도 군포시 번영로 485
이디야,4,산본,경기도 군포시 산본동 번영로 504
올리브영,4,산본,경기도 군포시 산본동 산본로323번길 20-17
스타벅스,4,수리산,경기도 군포시 번영로 497
다이소,4,수리산,경기도 군포시 군포로 486
이디야,4,수리산,경기도 군포시 산본동 번영로 504
올리브영,4,수리산,경기도 군포시 산본동 산본로323번길 20-17
스타벅스,4,대야미,경기도 군포시 번영로 497
다이소,4,대야미,경기도 군포시 군포로 486
이디야,4,대야미,경기도 군포시 대야동 660-3
올리브영,4,대야미,경기도 군포시 산본동 산본로323번길 20-17
스타벅스,4,반월,경기도 안산시 상록구 광덕1로 379
다이소,4,반월,경기도 안산시 상록구 월피동 445-5
이디야,4,반월,경기도 안산시 상록구 건건동 644-7
올리브영,4,반월,경기도 안산시 상록구 월피동 445-25
스타벅스,4,상록수,경기도 안산시 상록구 광덕1로 379
다이소,4,상록수,경기도 안산시 상록구 본오동 용신로 388
이디야,4,상록수,경기도 안산시 상록구 본오동 874-3
올리브영,4,상록수,경기도 안산시 상록구 이동 716-2
스타벅스,4,한대앞,경기도 안산시 상록구 광덕1로 379
다이소,4,한대앞,경기도 안산시 상록구 이동 720
이디야,4,한대앞,경기도 안산시 상록구 중보로 49
올리브영,4,한대앞,경기도 안산시 상록구 이동 716-2
스타벅스,4,중앙,경기도 안산시 단원구 고잔동 541
다이소,4,중앙,경기도 안산시 단원구 고잔2동
이디야,4,중앙,경기도 안산시 단원구 고잔동 중앙대로 907
올리브영,4,중앙,경기도 안산시 단원구 고잔동 540-14
스타벅스,4,고잔,경기도 안산시 단원구 고잔동 적금로 120
다이소,4,고잔,경기도 안산시 단원구 고잔동 533-2
이디야,4,고잔,경기도 안산시 단원구 다리간로 18
올리브영,4,고잔,경기도 안산시 단원구 고잔동 726-6
